Order_ID,Order_Date,Year,Month,Quarter,Customer_ID,Age,Gender,City,Region,Product,Category,Quantity,Unit_Price,Discount_%,Cost_Price,Payment_Method,Revenue,Profit,Profit_Margin,Month_Name,Day,Weekday,Order_Value,Profit_Margin_%,Customer_Lifetime_Value
ORD_1,2022-08-02,2022,8,3,CUST_564,28,Male,Hyderabad,South,Laptop,Electronics,1,33090.51,0.02,23724.36,Credit Card,40535.87,16811.51,0.41,August,2,Tuesday,40535.87,41.473169318926665,551156.8099999999
ORD_2,2020-04-02,2020,4,2,CUST_1117,47,Female,Delhi,North,T-shirt,Fashion,3,1142.9,0.0,852.02,Debit Card,2185.8,-370.26,-0.17,April,2,Thursday,2185.8,-16.939335712325004,2550.3
ORD_3,2022-04-24,2022,4,2,CUST_62,56,Male,Delhi,North,Rice,Grocery,1,113.43,0.03,78.47,UPI,137.53,59.06,0.43,April,24,Sunday,137.53,42.94335781284084,422353.13
ORD_4,2020-03-23,2020,3,1,CUST_1150,21,Male,Hyderabad,South,T-shirt,Fashion,3,4369.73,0.02,2664.48,COD,10919.96,2926.52,0.27,March,23,Monday,10919.96,26.799731867149703,50217.520000000004
ORD_5,2023-01-06,2023,1,1,CUST_452,39,Male,Ahmedabad,West,Sunglasses,Accessories,4,1191.79,0.01,803.6,UPI,7268.01,4053.61,0.56,January,6,Friday,7268.01,55.77331346544653,111861.81
ORD_6,2022-04-21,2022,4,2,CUST_327,63,Female,Kolkata,East,Mixer,Home & Kitchen,2,13481.63,0.06,8152.3,Debit Card,31681.83,15377.23,0.49,April,21,Thursday,31681.83,48.536432396739706,209351.46
ORD_7,2020-11-27,2020,11,4,CUST_441,59,Female,Pune,West,Microwave,Home & Kitchen,2,8836.98,0.11,5733.43,UPI,16712.94,5246.08,0.31,November,27,Friday,16712.94,31.389330662349057,119038.19
ORD_8,2019-07-29,2019,7,3,CUST_199,43,Female,Pune,West,Smartwatch,Electronics,1,25699.94,0.08,15707.36,COD,22461.75,6754.39,0.3,July,29,Monday,22461.75,30.070631184124125,203143.74000000002
ORD_9,2023-10-02,2023,10,4,CUST_89,18,Male,Ahmedabad,West,Cookware Set,Home & Kitchen,1,18496.17,0.29,12904.07,COD,23900.75,10996.68,0.46,October,2,Monday,23900.75,46.00976956790059,169236.81
ORD_10,2022-01-03,2022,1,1,CUST_162,40,Female,Chennai,South,Smartwatch,Electronics,1,55163.09,0.07,38373.3,Debit Card,70539.8,32166.5,0.46,January,3,Monday,70539.8,45.600497874958535,297633.35
ORD_11,2023-08-26,2023,8,3,CUST_1183,28,Male,Hyderabad,South,Sunglasses,Accessories,3,2376.73,0.03,1440.45,Debit Card,9682.8,5361.45,0.55,August,26,Saturday,9682.8,55.37086379972735,40876.7
ORD_12,2022-12-13,2022,12,4,CUST_467,22,Female,Chennai,South,Laptop,Electronics,3,73067.49,0.06,49757.22,UPI,309075.48,159803.82,0.52,December,13,Tuesday,309075.48,51.70381681523233,393906.19
ORD_13,2019-06-13,2019,6,2,CUST_779,32,Male,Chennai,South,T-shirt,Fashion,1,4136.54,0.01,2765.2,UPI,4709.45,1944.25,0.41,June,13,Thursday,4709.45,41.284014056843155,104237.36
ORD_14,2021-07-17,2021,7,3,CUST_759,33,Female,Pune,West,Microwave,Home & Kitchen,2,6470.44,0.0,4224.46,UPI,13523.22,5074.3,0.38,July,17,Saturday,13523.22,37.52286807431958,58756.81
ORD_15,2020-03-05,2020,3,1,CUST_351,63,Female,Hyderabad,South,Mixer,Home & Kitchen,4,7465.9,0.09,4841.49,Credit Card,23099.49,3733.53,0.16,March,5,Thursday,23099.49,16.16282437404462,354226.8
ORD_16,2019-12-01,2019,12,4,CUST_553,26,Male,Hyderabad,South,Cooking Oil,Grocery,2,578.39,0.07,359.88,COD,1290.97,571.21,0.44,December,1,Sunday,1290.97,44.246574281354334,20262.51
ORD_17,2022-11-03,2022,11,4,CUST_470,29,Male,Mumbai,West,Mixer,Home & Kitchen,1,9281.71,0.13,6250.47,COD,12617.32,6366.85,0.5,November,3,Thursday,12617.32,50.46119144160567,395176.17
