Order_ID,Order_Date,Year,Month,Quarter,Customer_ID,Age,Gender,City,Region,Product,Category,Quantity,Unit_Price,Discount_%,Cost_Price,Payment_Method,Revenue,Profit,Profit_Margin
ORD_1,2022-08-02,2022,8,3,CUST_564,28,Male,Hyderabad,South,Laptop,Electronics,1,33090.51,0.02,23724.36,Credit Card,40535.87,16811.51,0.41
ORD_2,2020-04-02,2020,4,2,CUST_1117,47,Female,Delhi,North,T-shirt,Fashion,3,1142.9,0.0,852.02,Debit Card,2185.8,-370.26,-0.17
ORD_3,2022-04-24,2022,4,2,CUST_62,56,Male,Delhi,North,Rice,Grocery,1,113.43,0.03,78.47,UPI,137.53,59.06,0.43
ORD_4,2020-03-23,2020,3,1,CUST_1150,21,Male,Hyderabad,South,T-shirt,Fashion,3,4369.73,0.02,2664.48,COD,10919.96,2926.52,0.27
ORD_5,2023-01-06,2023,1,1,CUST_452,39,Male,Ahmedabad,West,Sunglasses,Accessories,4,1191.79,0.01,803.6,UPI,7268.01,4053.61,0.56
ORD_6,2022-04-21,2022,4,2,CUST_327,63,Female,Kolkata,East,Mixer,Home & Kitchen,2,13481.63,0.06,8152.3,Debit Card,31681.83,15377.23,0.49
ORD_7,2020-11-27,2020,11,4,CUST_441,59,Female,Pune,West,Microwave,Home & Kitchen,2,8836.98,0.11,5733.43,UPI,16712.94,5246.08,0.31
ORD_8,2019-07-29,2019,7,3,CUST_199,43,Female,Pune,West,Smartwatch,Electronics,1,25699.94,0.08,15707.36,COD,22461.75,6754.39,0.3
ORD_9,2023-10-02,2023,10,4,CUST_89,18,Male,Ahmedabad,West,Cookware Set,Home & Kitchen,1,18496.17,0.29,12904.07,COD,23900.75,10996.68,0.46
ORD_10,2022-01-03,2022,1,1,CUST_162,40,Female,Chennai,South,Smartwatch,Electronics,1,55163.09,0.07,38373.3,Debit Card,70539.8,32166.5,0.46
ORD_11,2023-08-26,2023,8,3,CUST_1183,28,Male,Hyderabad,South,Sunglasses,Accessories,3,2376.73,0.03,1440.45,Debit Card,9682.8,5361.45,0.55
ORD_12,2022-12-13,2022,12,4,CUST_467,22,Female,Chennai,South,Laptop,Electronics,3,73067.49,0.06,49757.22,UPI,309075.48,159803.82,0.52
ORD_13,2019-06-13,2019,6,2,CUST_779,32,Male,Chennai,South,T-shirt,Fashion,1,4136.54,0.01,2765.2,UPI,4709.45,1944.25,0.41
ORD_14,2021-07-17,2021,7,3,CUST_759,33,Female,Pune,West,Microwave,Home & Kitchen,2,6470.44,0.0,4224.46,UPI,13523.22,5074.3,0.38
ORD_15,2020-03-05,2020,3,1,CUST_351,63,Female,Hyderabad,South,Mixer,Home & Kitchen,4,7465.9,0.09,4841.49,Credit Card,23099.49,3733.53,0.16
ORD_16,2019-12-01,2019,12,4,CUST_553,26,Male,Hyderabad,South,Cooking Oil,Grocery,2,578.39,0.07,359.88,COD,1290.97,571.21,0.44
ORD_17,2022-11-03,2022,11,4,CUST_470,29,Male,Mumbai,West,Mixer,Home & Kitchen,1,9281.71,0.13,6250.47,COD,12617.32,6366.85,0.5
ORD_18,2023-07-07,2023,7,3,CUST_549,18,Male,Delhi,North,Sofa,Home & Kitchen,1,20275.35,0.06,14091.97,Credit Card,25348.24,11256.27,0.44
ORD_19,2020-03-08,2020,3,1,CUST_645,39,Male,Hyderabad,South,Wallet,Accessories,3,2486.3,0.02,1757.0,Debit Card,6213.26,942.26,0.15
ORD_20,2022-09-04,2022,9,3,CUST_940,24,Female,Bangalore,South,Cooking Oil,Grocery,1,1879.79,0.07,1335.18,UPI,2294.52,959.34,0.42
ORD_21,2020-06-26,2020,6,2,CUST_1150,32,Female,Chennai,South,Jeans,Fashion,1,2824.86,0.02,1734.37,Debit Card,2029.56,295.19,0.15
ORD_22,2023-03-10,2023,3,1,CUST_1196,39,Female,Kolkata,East,Sunglasses,Accessories,4,3619.31,0.04,2653.55,Debit Card,19457.41,8843.21,0.45
ORD_23,2021-01-11,2021,1,1,CUST_1044,41,Male,Ahmedabad,West,Jeans,Fashion,1,2175.27,0.07,1306.81,UPI,2447.83,1141.02,0.47
ORD_24,2019-07-06,2019,7,3,CUST_314,28,Male,Bangalore,South,Laptop,Electronics,1,58413.44,0.05,36614.91,UPI,52718.13,16103.22,0.31
ORD_25,2023-06-11,2023,6,2,CUST_131,46,Male,Kolkata,East,Snacks,Grocery,2,1309.03,0.02,976.47,UPI,4130.78,2177.84,0.53
ORD_26,2021-02-20,2021,2,1,CUST_1084,50,Male,Chennai,South,Sunglasses,Accessories,4,2434.54,0.09,1544.78,Credit Card,8773.11,2593.99,0.3
ORD_27,2022-02-07,2022,2,1,CUST_1100,61,Male,Chennai,South,Laptop,Electronics,2,25967.03,0.04,15640.42,COD,56088.78,24807.94,0.44
ORD_28,2023-04-24,2023,4,2,CUST_602,45,Male,Kolkata,East,Mixer,Home & Kitchen,3,10242.35,0.03,6890.97,UPI,41727.33,21054.42,0.5
ORD_29,2019-11-20,2019,11,4,CUST_540,34,Male,Bangalore,South,Rice,Grocery,2,1268.51,0.15,817.29,UPI,2695.58,1061.0,0.39
ORD_30,2021-11-05,2021,11,4,CUST_1040,36,Female,Hyderabad,South,Headphones,Electronics,3,65702.09,0.22,40225.39,UPI,211396.47,90720.3,0.43
ORD_31,2019-11-10,2019,11,4,CUST_1105,64,Female,Mumbai,West,Microwave,Home & Kitchen,3,22360.13,0.22,14886.73,Credit Card,65403.38,20743.19,0.32
ORD_32,2022-05-11,2022,5,2,CUST_40,36,Male,Delhi,North,Sofa,Home & Kitchen,1,21649.71,0.0,15661.19,UPI,28415.24,12754.05,0.45
ORD_33,2021-01-13,2021,1,1,CUST_119,20,Female,Hyderabad,South,Microwave,Home & Kitchen,4,15949.37,0.08,10034.66,Credit Card,71019.35,30880.71,0.43
ORD_34,2023-12-04,2023,12,4,CUST_176,24,Male,Ahmedabad,West,Backpack,Accessories,3,2944.0,0.08,1886.0,Credit Card,13650.74,7992.74,0.59
ORD_35,2023-07-30,2023,7,3,CUST_263,57,Female,Ahmedabad,West,Smartphone,Electronics,1,56637.49,0.02,35311.52,UPI,73821.3,38509.78,0.52
ORD_36,2022-01-30,2022,1,1,CUST_1081,21,Male,Kolkata,East,Shoes,Fashion,4,2825.13,0.06,1954.31,Credit Card,14605.92,6788.68,0.46
ORD_37,2020-03-09,2020,3,1,CUST_412,19,Male,Chennai,South,Wallet,Accessories,1,470.21,0.03,351.21,UPI,387.69,36.48,0.09
ORD_38,2021-03-28,2021,3,1,CUST_1060,28,Female,Ahmedabad,West,Sofa,Home & Kitchen,2,10564.11,0.09,7743.51,UPI,21149.35,5662.33,0.27
ORD_39,2019-09-05,2019,9,3,CUST_132,29,Female,Pune,West,Jeans,Fashion,4,3271.33,0.06,1975.81,Credit Card,12915.21,5011.97,0.39
ORD_40,2019-02-13,2019,2,1,CUST_472,48,Male,Hyderabad,South,Wallet,Accessories,3,1995.54,0.08,1384.69,Debit Card,4956.92,802.85,0.16
ORD_41,2019-01-15,2019,1,1,CUST_469,39,Female,Delhi,North,Laptop,Electronics,1,54179.2,0.08,32696.65,Debit Card,54829.35,22132.7,0.4
ORD_42,2019-03-06,2019,3,1,CUST_1053,52,Male,Hyderabad,South,Mixer,Home & Kitchen,4,22059.33,0.04,16437.22,Credit Card,84707.83,18958.95,0.22
ORD_43,2020-07-24,2020,7,3,CUST_1105,42,Male,Bangalore,South,Rice,Grocery,3,806.83,0.06,589.04,Credit Card,1377.95,-389.17,-0.28
